name,prow,pcol
NaN1,A,1
NaN2,A,2
NaN3,A,3
NaN4,A,4
NaN5,A,5
NaN6,A,6
NaN7,A,7
NaN8,A,8
NaN9,A,9
NaN10,A,10
NaN11,A,11
NaN12,A,12
NaN13,B,1
0_1,B,2
0_2,B,3
0_3,B,4
1_1,B,5
1_2,B,6
1_3,B,7
2_1,B,8
2_2,B,9
2_3,B,10
3_1,B,11
NaN14,B,12
NaN15,C,1
3_2,C,2
3_3,C,3
4_1,C,4
4_2,C,5
4_3,C,6
5_1,C,7
5_2,C,8
5_3,C,9
6_1,C,10
6_2,C,11
NaN16,C,12
NaN17,D,1
6_3,D,2
7_1,D,3
7_2,D,4
7_3,D,5
8_1,D,6
8_2,D,7
8_3,D,8
9_1,D,9
9_2,D,10
9_3,D,11
NAN18,D,12
NaN19,E,1
10_1,E,2
10_2,E,3
10_3,E,4
11_1,E,5
11_2,E,6
11_3,E,7
12_1,E,8
12_2,E,9
12_3,E,10
13_1,E,11
NaN20,E,12
NaN21,F,1
13_2,F,2
13_3,F,3
14_1,F,4
14_2,F,5
14_3,F,6
15_1,F,7
15_2,F,8
15_3,F,9
17_1,F,10
17_2,F,11
NaN22,F,12
NaN21,G,1
17_3,G,2
NaN22,G,3
NaN23,G,4
NaN24,G,5
NaN25,G,6
15_1,G,7
15_2,G,8
15_3,G,9
NaN26,G,10
NaN27,G,11
NaN28,G,12
NaN29,H,1
NaN30,H,2
NaN31,H,3
NaN32,H,4
NaN33,H,5
NaN34,H,6
NaN35,H,7
NaN36,H,8
NaN37,H,9
NaN38,H,10
NaN39,H,11
NaN40,H,12
