,G8H,pG8H,pCPR,CPR,Predicted_stric_production
0,Cro,ENO2,CCW12,Rse,117.89738395696985
1,Cro,ENO2,CCW12,Cro,117.89738395696985
2,Cro,ENO2,CCW12,Aan,117.89738395696985
3,Cro,ENO2,CCW12,Ara,117.89738395696985
4,Cro,ENO2,CCW12,Clo,117.89738395696985
5,Cro,ENO2,CCW12,Ahu,117.89738395696985
6,Cro,ENO2,CCW12,Ani,117.89738395696985
7,Cro,ENO2,CCW12,Cac,117.89738395696985
8,Cro,ENO2,CCW12,Oeu,117.89738395696985
9,Cro,ENO2,CCW12,Cpo,117.89738395696985
10,Cro,ENO2,TPI1,Ani,115.7331901987589
11,Cro,ENO2,TPI1,Ara,115.7331901987589
12,Cro,ENO2,TPI1,Clo,115.7331901987589
13,Cro,ENO2,TPI1,Rse,115.7331901987589
14,Cro,ENO2,TPI1,Cro,115.7331901987589
15,Cro,ENO2,TPI1,Cac,115.7331901987589
16,Cro,ENO2,TPI1,Cpo,115.7331901987589
17,Cro,ENO2,TPI1,Oeu,115.7331901987589
18,Smus,ENO2,CCW12,Cpo,113.72037174157556
19,Smus,ENO2,CCW12,Cro,113.72037174157556
20,Smus,ENO2,CCW12,Aan,113.72037174157556
21,Smus,ENO2,CCW12,Ara,113.72037174157556
22,Smus,ENO2,CCW12,Clo,113.72037174157556
23,Smus,ENO2,CCW12,Ahu,113.72037174157556
24,Smus,ENO2,CCW12,Ani,113.72037174157556
25,Smus,ENO2,CCW12,Oeu,113.72037174157556
26,Smus,ENO2,CCW12,Cac,113.72037174157556
27,Smus,ENO2,TPI1,Cpo,110.78851448150424
28,Smus,ENO2,TPI1,Cac,110.78851448150424
29,Smus,ENO2,TPI1,Oeu,110.78851448150424
30,Smus,ENO2,TPI1,Ani,110.78851448150424
31,Smus,ENO2,TPI1,Ahu,110.78851448150424
32,Smus,ENO2,TPI1,Rse,110.78851448150424
33,Smus,ENO2,TPI1,Clo,110.78851448150424
34,Smus,ENO2,TPI1,Aan,110.78851448150424
35,Smus,ENO2,TPI1,Cro,110.78851448150424
36,Rsep,ENO2,CCW12,Cro,105.47961058068248
37,Rsep,ENO2,CCW12,Ara,105.47961058068248
38,Rsep,ENO2,CCW12,Aan,105.47961058068248
39,Rsep,ENO2,CCW12,Oeu,105.47961058068248
40,Rsep,ENO2,CCW12,Rse,105.47961058068248
41,Rsep,ENO2,CCW12,Ahu,105.47961058068248
42,Rsep,ENO2,CCW12,Cpo,105.47961058068248
43,Rsep,ENO2,CCW12,Ani,105.47961058068248
44,Rsep,ENO2,CCW12,Cac,105.47961058068248
45,Smus,CYC1,CCW12,Ara,76.21415914000113
46,Smus,CYC1,CCW12,Cac,76.21415914000113
47,Smus,CYC1,CCW12,Ani,76.21415914000113
48,Smus,CYC1,CCW12,Ahu,76.21415914000113
49,Smus,CYC1,CCW12,Rse,76.21415914000113
50,Smus,CYC1,CCW12,Clo,76.21415914000113
51,Smus,CYC1,CCW12,Cpo,76.21415914000113
52,Smus,CYC1,CCW12,Aan,76.21415914000113
53,Smus,CYC1,CCW12,Cro,76.21415914000113
54,Cro,CYC1,CCW12,Clo,67.9990281420072
55,Cro,CYC1,CCW12,Oeu,67.9990281420072
56,Cro,CYC1,CCW12,Cac,67.9990281420072
57,Cro,CYC1,CCW12,Ani,67.9990281420072
58,Cro,CYC1,CCW12,Rse,67.9990281420072
59,Cro,CYC1,CCW12,Ahu,67.9990281420072
60,Cro,CYC1,CCW12,Ara,67.9990281420072
61,Cro,CYC1,CCW12,Aan,67.9990281420072
62,Cro,CYC1,CCW12,Cro,67.9990281420072
63,Cro,CYC1,CCW12,Cpo,67.9990281420072
64,Vmin,ENO2,CCW12,Cac,60.061326281416775
65,Vmin,ENO2,CCW12,Oeu,60.061326281416775
66,Vmin,ENO2,CCW12,Cpo,60.061326281416775
67,Vmin,ENO2,CCW12,Ani,60.061326281416775
68,Vmin,ENO2,CCW12,Ahu,60.061326281416775
69,Vmin,ENO2,CCW12,Rse,60.061326281416775
70,Vmin,ENO2,CCW12,Clo,60.061326281416775
71,Vmin,ENO2,CCW12,Aan,60.061326281416775
72,Vmin,ENO2,CCW12,Cro,60.061326281416775
73,Smus,CYC1,TPI1,Cro,59.58013634821382
74,Smus,CYC1,TPI1,Ani,59.58013634821382
75,Smus,CYC1,TPI1,Ahu,59.58013634821382
76,Smus,CYC1,TPI1,Aan,59.58013634821382
77,Smus,CYC1,TPI1,Ara,59.58013634821382
78,Smus,CYC1,TPI1,Clo,59.58013634821382
79,Smus,CYC1,TPI1,Rse,59.58013634821382
80,Smus,CYC1,TPI1,Cpo,59.58013634821382
81,Cro,ENO2,URE2,Cro,58.65578055266247
82,Cro,ENO2,URE2,Clo,58.65578055266247
83,Cro,ENO2,URE2,Rse,58.65578055266247
84,Cro,ENO2,URE2,Ara,58.65578055266247
85,Cro,ENO2,URE2,Ahu,58.65578055266247
86,Cro,ENO2,URE2,Ani,58.65578055266247
87,Cro,ENO2,URE2,Cac,58.65578055266247
88,Cro,ENO2,URE2,Oeu,58.65578055266247
89,Cro,ENO2,URE2,Cpo,58.65578055266247
90,Cro,ENO2,URE2,Aan,58.65578055266247
91,Rsep,ENO2,TPI1,Ara,58.40840622945581
92,Rsep,ENO2,TPI1,Clo,58.40840622945581
93,Rsep,ENO2,TPI1,Oeu,58.40840622945581
94,Rsep,ENO2,TPI1,Cac,58.40840622945581
95,Rsep,ENO2,TPI1,Ani,58.40840622945581
96,Rsep,ENO2,TPI1,Cro,58.40840622945581
97,Rsep,ENO2,TPI1,Aan,58.40840622945581
98,Rsep,ENO2,TPI1,Cpo,58.40840622945581
99,Smus,ENO2,URE2,Cpo,56.43464082090858
100,Smus,ENO2,URE2,Cro,56.43464082090858
101,Smus,ENO2,URE2,Ani,56.43464082090858
102,Smus,ENO2,URE2,Ahu,56.43464082090858
103,Smus,ENO2,URE2,Rse,56.43464082090858
104,Smus,ENO2,URE2,Ara,56.43464082090858
105,Smus,ENO2,URE2,Aan,56.43464082090858
106,Smus,ENO2,URE2,Oeu,56.43464082090858
107,Opum,ENO2,CCW12,Clo,56.24001237671885
108,Opum,ENO2,CCW12,Rse,56.24001237671885
109,Opum,ENO2,CCW12,Ahu,56.24001237671885
110,Opum,ENO2,CCW12,Cac,56.24001237671885
111,Opum,ENO2,CCW12,Oeu,56.24001237671885
112,Opum,ENO2,CCW12,Cpo,56.24001237671885
113,Opum,ENO2,CCW12,Ani,56.24001237671885
114,Opum,ENO2,CCW12,Ara,56.24001237671885
115,Cro,CYC1,TPI1,Ani,55.79144103501341
116,Cro,CYC1,TPI1,Ara,55.79144103501341
117,Cro,CYC1,TPI1,Cpo,55.79144103501341
118,Cro,CYC1,TPI1,Oeu,55.79144103501341
119,Cro,CYC1,TPI1,Aan,55.79144103501341
120,Cro,CYC1,TPI1,Ahu,55.79144103501341
121,Cro,CYC1,TPI1,Rse,55.79144103501341
122,Cro,CYC1,TPI1,Clo,55.79144103501341
123,Vmin,ENO2,TPI1,Cro,47.213659755477366
124,Vmin,ENO2,TPI1,Aan,47.213659755477366
125,Vmin,ENO2,TPI1,Clo,47.213659755477366
126,Vmin,ENO2,TPI1,Rse,47.213659755477366
127,Vmin,ENO2,TPI1,Cac,47.213659755477366
128,Vmin,ENO2,TPI1,Cpo,47.213659755477366
129,Vmin,ENO2,TPI1,Ahu,47.213659755477366
130,Vmin,ENO2,TPI1,Ani,47.213659755477366
131,Rsep,ENO2,URE2,Cro,25.57440809824404
132,Rsep,ENO2,URE2,Ahu,25.57440809824404
133,Rsep,ENO2,URE2,Cpo,25.57440809824404
134,Rsep,ENO2,URE2,Rse,25.57440809824404
135,Rsep,ENO2,URE2,Clo,25.57440809824404
136,Rsep,ENO2,URE2,Ara,25.57440809824404
137,Rsep,ENO2,URE2,Aan,25.57440809824404
138,Rsep,ENO2,URE2,Oeu,25.57440809824404
139,Smus,CYC1,URE2,Cro,21.560344726368456
140,Smus,CYC1,URE2,Cpo,21.560344726368456
141,Smus,CYC1,URE2,Ara,21.560344726368456
142,Smus,CYC1,URE2,Clo,21.560344726368456
143,Smus,CYC1,URE2,Rse,21.560344726368456
144,Smus,CYC1,URE2,Ahu,21.560344726368456
145,Smus,CYC1,URE2,Ani,21.560344726368456
146,Smus,CYC1,URE2,Cac,21.560344726368456
147,Smus,CYC1,URE2,Oeu,21.560344726368456
148,Smus,CYC1,URE2,Aan,21.560344726368456
149,Smus,RPL15B,TPI1,Ani,20.241952396425766
150,Smus,RPL15B,TPI1,Aan,20.241952396425766
151,Smus,RPL15B,TPI1,Ara,20.241952396425766
152,Smus,RPL15B,TPI1,Ahu,20.241952396425766
153,Smus,RPL15B,TPI1,Cpo,20.241952396425766
154,Smus,RPL15B,TPI1,Cac,20.241952396425766
155,Smus,RPL15B,TPI1,Oeu,20.241952396425766
156,Smus,PCK1,TPI1,Aan,17.866477021142448
157,Smus,PCK1,TPI1,Ara,17.866477021142448
158,Smus,PCK1,TPI1,Ahu,17.866477021142448
159,Smus,PCK1,TPI1,Cro,17.866477021142448
160,Smus,PCK1,TPI1,Clo,17.866477021142448
161,Smus,PCK1,TPI1,Rse,17.866477021142448
162,Smus,PCK1,TPI1,Cac,17.866477021142448
163,Smus,PCK1,TPI1,Oeu,17.866477021142448
164,Smus,PCK1,TPI1,Cpo,17.866477021142448
165,Smus,PCK1,TPI1,Ani,17.866477021142448
166,Opum,ENO2,TPI1,Aan,16.89931638088234
167,Opum,ENO2,TPI1,Cro,16.89931638088234
168,Opum,ENO2,TPI1,Clo,16.89931638088234
169,Opum,ENO2,TPI1,Rse,16.89931638088234
170,Opum,ENO2,TPI1,Ahu,16.89931638088234
171,Opum,ENO2,TPI1,Ani,16.89931638088234
172,Opum,ENO2,TPI1,Cac,16.89931638088234
173,Opum,ENO2,TPI1,Oeu,16.89931638088234
174,Opum,ENO2,TPI1,Ara,16.89931638088234
175,Vmin,ENO2,URE2,Cac,15.05070557278398
176,Vmin,ENO2,URE2,Cpo,15.05070557278398
177,Vmin,ENO2,URE2,Oeu,15.05070557278398
178,Vmin,ENO2,URE2,Ahu,15.05070557278398
179,Vmin,ENO2,URE2,Ani,15.05070557278398
180,Vmin,ENO2,URE2,Clo,15.05070557278398
181,Vmin,ENO2,URE2,Ara,15.05070557278398
182,Vmin,ENO2,URE2,Aan,15.05070557278398
183,Vmin,ENO2,URE2,Cro,15.05070557278398
184,Vmin,CYC1,CCW12,Cac,14.729730976498306
185,Vmin,CYC1,CCW12,Ani,14.729730976498306
186,Vmin,CYC1,CCW12,Ahu,14.729730976498306
187,Vmin,CYC1,CCW12,Clo,14.729730976498306
188,Vmin,CYC1,CCW12,Ara,14.729730976498306
189,Vmin,CYC1,CCW12,Cpo,14.729730976498306
190,Vmin,CYC1,CCW12,Aan,14.729730976498306
191,Vmin,CYC1,CCW12,Oeu,14.729730976498306
192,Vmin,CYC1,CCW12,Cro,14.729730976498306
193,Ccal,ENO2,CCW12,Clo,14.177266257478776
194,Ccal,ENO2,CCW12,Ani,14.177266257478776
195,Ccal,ENO2,CCW12,Cpo,14.177266257478776
196,Ccal,ENO2,CCW12,Oeu,14.177266257478776
197,Ccal,ENO2,CCW12,Ara,14.177266257478776
198,Ccal,ENO2,CCW12,Cac,14.177266257478776
199,Ccal,ENO2,CCW12,Ahu,14.177266257478776
200,Ccal,ENO2,CCW12,Rse,14.177266257478776
201,Ccal,ENO2,CCW12,Cro,14.177266257478776
202,Ccal,ENO2,CCW12,Aan,14.177266257478776
203,Cro,CYC1,URE2,Ahu,13.231810878755876
204,Cro,CYC1,URE2,Cro,13.231810878755876
205,Cro,CYC1,URE2,Ani,13.231810878755876
206,Cro,CYC1,URE2,Cac,13.231810878755876
207,Cro,CYC1,URE2,Cpo,13.231810878755876
208,Cro,CYC1,URE2,Oeu,13.231810878755876
209,Cro,CYC1,URE2,Rse,13.231810878755876
210,Cro,CYC1,URE2,Aan,13.231810878755876
211,Smus,ENO2,MLS1,Cro,13.139324508323387
212,Smus,ENO2,MLS1,Rse,13.139324508323387
213,Smus,ENO2,MLS1,Clo,13.139324508323387
214,Smus,ENO2,MLS1,Cpo,13.139324508323387
215,Smus,ENO2,MLS1,Oeu,13.139324508323387
216,Smus,ENO2,MLS1,Cac,13.139324508323387
217,Smus,ENO2,MLS1,Ani,13.139324508323387
218,Smus,ENO2,MLS1,Ahu,13.139324508323387
219,Smus,ENO2,MLS1,Ara,13.139324508323387
220,Smus,ENO2,MLS1,Aan,13.139324508323387
221,Rsep,CYC1,URE2,Rse,13.069547937131748
222,Rsep,CYC1,URE2,Ahu,13.069547937131748
223,Rsep,CYC1,URE2,Cac,13.069547937131748
224,Rsep,CYC1,URE2,Ani,13.069547937131748
225,Rsep,CYC1,URE2,Cpo,13.069547937131748
226,Rsep,CYC1,URE2,Clo,13.069547937131748
227,Rsep,CYC1,URE2,Ara,13.069547937131748
228,Rsep,CYC1,URE2,Oeu,13.069547937131748
229,Rsep,CYC1,URE2,Cro,13.069547937131748
230,Cacu,RPL15B,MLS1,Ahu,12.95808654354331
231,Cacu,RPL15B,MLS1,Cac,12.95808654354331
232,Cacu,RPL15B,MLS1,Ara,12.95808654354331
233,Cacu,RPL15B,MLS1,Aan,12.95808654354331
234,Cacu,RPL15B,MLS1,Cro,12.95808654354331
235,Cacu,RPL15B,MLS1,Cpo,12.95808654354331
236,Cacu,RPL15B,MLS1,Clo,12.95808654354331
237,Cacu,RPL15B,MLS1,Rse,12.95808654354331
238,Cacu,RPL15B,MLS1,Oeu,12.95808654354331
239,Cacu,RPL15B,MLS1,Ani,12.95808654354331
240,Vmin,CYC1,TPI1,Rse,12.932745303798855
241,Vmin,CYC1,TPI1,Aan,12.932745303798855
242,Vmin,CYC1,TPI1,Cpo,12.932745303798855
243,Vmin,CYC1,TPI1,Cro,12.932745303798855
244,Vmin,CYC1,TPI1,Oeu,12.932745303798855
245,Vmin,CYC1,TPI1,Cac,12.932745303798855
246,Vmin,CYC1,TPI1,Ani,12.932745303798855
247,Vmin,CYC1,TPI1,Ahu,12.932745303798855
248,Vmin,CYC1,TPI1,Ara,12.932745303798855
249,Vmin,CYC1,TPI1,Clo,12.932745303798855
250,Ccal,RPL15B,MLS1,Cpo,12.863643572020823
251,Ccal,RPL15B,MLS1,Oeu,12.863643572020823
252,Ccal,RPL15B,MLS1,Cro,12.863643572020823
253,Ccal,RPL15B,MLS1,Clo,12.863643572020823
254,Ccal,RPL15B,MLS1,Ani,12.863643572020823
255,Ccal,RPL15B,MLS1,Cac,12.863643572020823
256,Rsep,CYC1,TPI1,Cro,12.769354201931357
257,Rsep,CYC1,TPI1,Aan,12.769354201931357
258,Rsep,CYC1,TPI1,Ara,12.769354201931357
259,Rsep,CYC1,TPI1,Clo,12.769354201931357
260,Rsep,CYC1,TPI1,Rse,12.769354201931357
261,Rsep,CYC1,TPI1,Ahu,12.769354201931357
262,Rsep,CYC1,TPI1,Cac,12.769354201931357
263,Rsep,CYC1,TPI1,Oeu,12.769354201931357
264,Rsep,CYC1,TPI1,Ani,12.769354201931357
265,Cacu,PCK1,MLS1,Rse,12.73247841344563
266,Cacu,PCK1,MLS1,Aan,12.73247841344563
267,Cacu,PCK1,MLS1,Ahu,12.73247841344563
268,Cacu,PCK1,MLS1,Clo,12.73247841344563
269,Cacu,PCK1,MLS1,Cro,12.73247841344563
270,Cacu,PCK1,MLS1,Ani,12.73247841344563
271,Cacu,PCK1,MLS1,Cac,12.73247841344563
272,Cacu,PCK1,MLS1,Oeu,12.73247841344563
273,Cacu,PCK1,MLS1,Cpo,12.73247841344563
274,Ccal,PCK1,MLS1,Ani,12.589489710164967
275,Ccal,PCK1,MLS1,Rse,12.589489710164967
276,Ccal,PCK1,MLS1,Clo,12.589489710164967
277,Ccal,PCK1,MLS1,Ara,12.589489710164967
278,Ccal,PCK1,MLS1,Cro,12.589489710164967
279,Ccal,PCK1,MLS1,Oeu,12.589489710164967
280,Ccal,PCK1,MLS1,Cac,12.589489710164967
281,Ccal,PCK1,MLS1,Ahu,12.589489710164967
282,Cacu,CYC1,MLS1,Aan,12.481841996182029
283,Cacu,CYC1,MLS1,Cac,12.481841996182029
284,Cacu,CYC1,MLS1,Cpo,12.481841996182029
285,Cacu,CYC1,MLS1,Cro,12.481841996182029
286,Cacu,CYC1,MLS1,Clo,12.481841996182029
287,Cacu,CYC1,MLS1,Rse,12.481841996182029
288,Cacu,CYC1,MLS1,Oeu,12.481841996182029
289,Cacu,CYC1,MLS1,Ahu,12.481841996182029
290,Cacu,CYC1,MLS1,Ara,12.481841996182029
291,Cacu,CYC1,MLS1,Ani,12.481841996182029
292,Cacu,RPL15B,URE2,Cpo,12.456993213060196
293,Cacu,RPL15B,URE2,Rse,12.456993213060196
294,Cacu,RPL15B,URE2,Cro,12.456993213060196
295,Cacu,RPL15B,URE2,Aan,12.456993213060196
296,Cacu,RPL15B,URE2,Clo,12.456993213060196
297,Cacu,RPL15B,URE2,Ahu,12.456993213060196
298,Cacu,RPL15B,URE2,Ani,12.456993213060196
299,Cacu,RPL15B,URE2,Cac,12.456993213060196
300,Cacu,RPL15B,URE2,Oeu,12.456993213060196
301,Cacu,RPL15B,URE2,Ara,12.456993213060196
302,Oeu,RPL15B,MLS1,Ani,12.251043336575078
303,Oeu,RPL15B,MLS1,Cro,12.251043336575078
304,Oeu,RPL15B,MLS1,Aan,12.251043336575078
305,Oeu,RPL15B,MLS1,Cac,12.251043336575078
306,Oeu,RPL15B,MLS1,Clo,12.251043336575078
307,Oeu,RPL15B,MLS1,Rse,12.251043336575078
308,Oeu,RPL15B,MLS1,Ahu,12.251043336575078
309,Oeu,RPL15B,MLS1,Cpo,12.251043336575078
310,Oeu,RPL15B,MLS1,Oeu,12.251043336575078
311,Oeu,RPL15B,MLS1,Ara,12.251043336575078
312,Rsep,RPL15B,MLS1,Cac,12.227682890789426
313,Rsep,RPL15B,MLS1,Cro,12.227682890789426
314,Rsep,RPL15B,MLS1,Cpo,12.227682890789426
315,Rsep,RPL15B,MLS1,Aan,12.227682890789426
316,Rsep,RPL15B,MLS1,Rse,12.227682890789426
317,Rsep,RPL15B,MLS1,Ahu,12.227682890789426
318,Rsep,RPL15B,MLS1,Ani,12.227682890789426
319,Rsep,RPL15B,MLS1,Oeu,12.227682890789426
320,Opum,RPL15B,MLS1,Oeu,12.199613813379967
321,Opum,RPL15B,MLS1,Cpo,12.199613813379967
322,Opum,RPL15B,MLS1,Aan,12.199613813379967
323,Opum,RPL15B,MLS1,Cac,12.199613813379967
