,G8H,pG8H,pCPR,CPR,Predicted_stric_production
0,Smus,ENO2,TPI1,Cro,231.40186599872047
1,Smus,ENO2,TPI1,Aan,231.40186599872047
2,Smus,ENO2,TPI1,Clo,231.40186599872047
3,Smus,ENO2,TPI1,Rse,231.40186599872047
4,Smus,ENO2,TPI1,Ahu,231.40186599872047
5,Smus,ENO2,TPI1,Ani,231.40186599872047
6,Smus,ENO2,TPI1,Cac,231.40186599872047
7,Smus,ENO2,TPI1,Oeu,231.40186599872047
8,Smus,ENO2,TPI1,Cpo,231.40186599872047
9,Smus,ENO2,CCW12,Cac,96.51515480179133
10,Smus,ENO2,CCW12,Ahu,96.51515480179133
11,Smus,ENO2,CCW12,Clo,96.51515480179133
12,Smus,ENO2,CCW12,Oeu,96.51515480179133
13,Smus,ENO2,CCW12,Cpo,96.51515480179133
14,Smus,ENO2,CCW12,Ani,96.51515480179133
15,Smus,ENO2,CCW12,Ara,96.51515480179133
16,Smus,ENO2,CCW12,Aan,96.51515480179133
17,Smus,ENO2,CCW12,Cro,96.51515480179133
18,Oeu,ENO2,TPI1,Clo,92.1019656817231
19,Oeu,ENO2,TPI1,Ara,92.1019656817231
20,Oeu,ENO2,TPI1,Aan,92.1019656817231
21,Oeu,ENO2,TPI1,Ahu,92.1019656817231
22,Oeu,ENO2,TPI1,Ani,92.1019656817231
23,Oeu,ENO2,TPI1,Cac,92.1019656817231
24,Oeu,ENO2,TPI1,Oeu,92.1019656817231
25,Oeu,ENO2,TPI1,Cpo,92.1019656817231
26,Oeu,ENO2,TPI1,Rse,92.1019656817231
27,Rsep,ENO2,CCW12,Cpo,90.42132300571976
28,Rsep,ENO2,CCW12,Oeu,90.42132300571976
29,Rsep,ENO2,CCW12,Aan,90.42132300571976
30,Rsep,ENO2,CCW12,Cac,90.42132300571976
31,Rsep,ENO2,CCW12,Ani,90.42132300571976
32,Rsep,ENO2,CCW12,Ahu,90.42132300571976
33,Rsep,ENO2,CCW12,Rse,90.42132300571976
34,Rsep,ENO2,CCW12,Ara,90.42132300571976
35,Rsep,ENO2,CCW12,Cro,90.42132300571976
36,Smus,CYC1,TPI1,Cpo,89.85420866318174
37,Smus,CYC1,TPI1,Ahu,89.85420866318174
38,Smus,CYC1,TPI1,Rse,89.85420866318174
39,Smus,CYC1,TPI1,Clo,89.85420866318174
40,Smus,CYC1,TPI1,Ara,89.85420866318174
41,Smus,CYC1,TPI1,Cro,89.85420866318174
42,Smus,CYC1,TPI1,Aan,89.85420866318174
43,Smus,CYC1,TPI1,Ani,89.85420866318174
44,Vmin,ENO2,TPI1,Clo,69.02492294663426
45,Vmin,ENO2,TPI1,Rse,69.02492294663426
46,Vmin,ENO2,TPI1,Ahu,69.02492294663426
47,Vmin,ENO2,TPI1,Cro,69.02492294663426
48,Vmin,ENO2,TPI1,Aan,69.02492294663426
49,Vmin,ENO2,TPI1,Ani,69.02492294663426
50,Vmin,ENO2,TPI1,Cac,69.02492294663426
51,Vmin,ENO2,TPI1,Cpo,69.02492294663426
52,Rsep,ENO2,TPI1,Cpo,65.1104579360343
53,Rsep,ENO2,TPI1,Cro,65.1104579360343
54,Rsep,ENO2,TPI1,Oeu,65.1104579360343
55,Rsep,ENO2,TPI1,Ara,65.1104579360343
56,Rsep,ENO2,TPI1,Clo,65.1104579360343
57,Rsep,ENO2,TPI1,Ani,65.1104579360343
58,Rsep,ENO2,TPI1,Cac,65.1104579360343
59,Rsep,ENO2,TPI1,Aan,65.1104579360343
60,Vmin,ENO2,CCW12,Clo,61.99063866112597
61,Vmin,ENO2,CCW12,Aan,61.99063866112597
62,Vmin,ENO2,CCW12,Cro,61.99063866112597
63,Vmin,ENO2,CCW12,Oeu,61.99063866112597
64,Vmin,ENO2,CCW12,Rse,61.99063866112597
65,Vmin,ENO2,CCW12,Ahu,61.99063866112597
66,Vmin,ENO2,CCW12,Cpo,61.99063866112597
67,Vmin,ENO2,CCW12,Cac,61.99063866112597
68,Vmin,ENO2,CCW12,Ani,61.99063866112597
69,Smus,CYC1,CCW12,Cac,55.19792762074011
70,Smus,CYC1,CCW12,Ani,55.19792762074011
71,Smus,CYC1,CCW12,Cro,55.19792762074011
72,Smus,CYC1,CCW12,Aan,55.19792762074011
73,Smus,CYC1,CCW12,Ara,55.19792762074011
74,Smus,CYC1,CCW12,Clo,55.19792762074011
75,Smus,CYC1,CCW12,Cpo,55.19792762074011
76,Smus,CYC1,CCW12,Rse,55.19792762074011
77,Smus,CYC1,CCW12,Ahu,55.19792762074011
78,Oeu,ENO2,CCW12,Cac,47.101947781537895
79,Oeu,ENO2,CCW12,Ahu,47.101947781537895
80,Oeu,ENO2,CCW12,Oeu,47.101947781537895
81,Oeu,ENO2,CCW12,Aan,47.101947781537895
82,Oeu,ENO2,CCW12,Ara,47.101947781537895
83,Oeu,ENO2,CCW12,Clo,47.101947781537895
84,Oeu,ENO2,CCW12,Rse,47.101947781537895
85,Oeu,ENO2,CCW12,Ani,47.101947781537895
86,Rsep,CYC1,CCW12,Aan,44.58108447579586
87,Rsep,CYC1,CCW12,Cro,44.58108447579586
88,Rsep,CYC1,CCW12,Ara,44.58108447579586
89,Rsep,CYC1,CCW12,Clo,44.58108447579586
90,Rsep,CYC1,CCW12,Ahu,44.58108447579586
91,Rsep,CYC1,CCW12,Cac,44.58108447579586
92,Rsep,CYC1,CCW12,Oeu,44.58108447579586
93,Rsep,CYC1,CCW12,Cpo,44.58108447579586
94,Cro,ENO2,TPI1,Cpo,39.03167123349608
95,Cro,ENO2,TPI1,Cro,39.03167123349608
96,Cro,ENO2,TPI1,Ara,39.03167123349608
