ID,name,date,plate,row,col,size,seq,concentration,volume,features,location,reference,comments,description
,,,0,A,1,,,,,,ds_dna_plates,,,
,,,0,A,2,,,,,,ds_dna_plates,,,
,,,0,A,3,,,,,,ds_dna_plates,,,
,,,0,A,4,,,,,,ds_dna_plates,,,
,,,0,A,5,,,,,,ds_dna_plates,,,
,,,0,A,6,,,,,,ds_dna_plates,,,
,,,0,A,7,,,,,,ds_dna_plates,,,
,,,0,A,8,,,,,,ds_dna_plates,,,
,,,0,A,9,,,,,,ds_dna_plates,,,
,,,0,A,10,,,,,,ds_dna_plates,,,
,,,0,A,11,,,,,,ds_dna_plates,,,
,,,0,A,12,,,,,,ds_dna_plates,,,
,,,0,B,1,,,,,,ds_dna_plates,,,
,,,0,B,2,,,,,,ds_dna_plates,,,
,,,0,B,3,,,,,,ds_dna_plates,,,
,,,0,B,4,,,,,,ds_dna_plates,,,
,,,0,B,5,,,,,,ds_dna_plates,,,
,,,0,B,6,,,,,,ds_dna_plates,,,
,,,0,B,7,,,,,,ds_dna_plates,,,
,,,0,B,8,,,,,,ds_dna_plates,,,
,,,0,B,9,,,,,,ds_dna_plates,,,
,,,0,B,10,,,,,,ds_dna_plates,,,
,,,0,B,11,,,,,,ds_dna_plates,,,
,,,0,B,12,,,,,,ds_dna_plates,,,
,,,0,C,1,,,,,,ds_dna_plates,,,
,,,0,C,2,,,,,,ds_dna_plates,,,
,,,0,C,3,,,,,,ds_dna_plates,,,
,,,0,C,4,,,,,,ds_dna_plates,,,
,,,0,C,5,,,,,,ds_dna_plates,,,
,,,0,C,6,,,,,,ds_dna_plates,,,
,,,0,C,7,,,,,,ds_dna_plates,,,
,,,0,C,8,,,,,,ds_dna_plates,,,
,,,0,C,9,,,,,,ds_dna_plates,,,
,,,0,C,10,,,,,,ds_dna_plates,,,
,,,0,C,11,,,,,,ds_dna_plates,,,
,,,0,C,12,,,,,,ds_dna_plates,,,
,,,0,D,1,,,,,,ds_dna_plates,,,
,,,0,D,2,,,,,,ds_dna_plates,,,
,,,0,D,3,,,,,,ds_dna_plates,,,
,,,0,D,4,,,,,,ds_dna_plates,,,
,,,0,D,5,,,,,,ds_dna_plates,,,
,,,0,D,6,,,,,,ds_dna_plates,,,
,,,0,D,7,,,,,,ds_dna_plates,,,
,,,0,D,8,,,,,,ds_dna_plates,,,
,,,0,D,9,,,,,,ds_dna_plates,,,
,,,0,D,10,,,,,,ds_dna_plates,,,
,,,0,D,11,,,,,,ds_dna_plates,,,
,,,0,D,12,,,,,,ds_dna_plates,,,
,,,0,E,1,,,,,,ds_dna_plates,,,
,,,0,E,2,,,,,,ds_dna_plates,,,
,,,0,E,3,,,,,,ds_dna_plates,,,
,,,0,E,4,,,,,,ds_dna_plates,,,
,,,0,E,5,,,,,,ds_dna_plates,,,
,,,0,E,6,,,,,,ds_dna_plates,,,
,,,0,E,7,,,,,,ds_dna_plates,,,
,,,0,E,8,,,,,,ds_dna_plates,,,
,,,0,E,9,,,,,,ds_dna_plates,,,
,,,0,E,10,,,,,,ds_dna_plates,,,
,,,0,E,11,,,,,,ds_dna_plates,,,
,,,0,E,12,,,,,,ds_dna_plates,,,
,,,0,F,1,,,,,,ds_dna_plates,,,
,,,0,F,2,,,,,,ds_dna_plates,,,
,,,0,F,3,,,,,,ds_dna_plates,,,
,,,0,F,4,,,,,,ds_dna_plates,,,
,,,0,F,5,,,,,,ds_dna_plates,,,
,,,0,F,6,,,,,,ds_dna_plates,,,
,,,0,F,7,,,,,,ds_dna_plates,,,
,,,0,F,8,,,,,,ds_dna_plates,,,
,,,0,F,9,,,,,,ds_dna_plates,,,
,,,0,F,10,,,,,,ds_dna_plates,,,
,,,0,F,11,,,,,,ds_dna_plates,,,
,,,0,F,12,,,,,,ds_dna_plates,,,
,,,0,G,1,,,,,,ds_dna_plates,,,
,,,0,G,2,,,,,,ds_dna_plates,,,
,,,0,G,3,,,,,,ds_dna_plates,,,
,,,0,G,4,,,,,,ds_dna_plates,,,
,,,0,G,5,,,,,,ds_dna_plates,,,
,,,0,G,6,,,,,,ds_dna_plates,,,
,,,0,G,7,,,,,,ds_dna_plates,,,
,,,0,G,8,,,,,,ds_dna_plates,,,
,,,0,G,9,,,,,,ds_dna_plates,,,
,,,0,G,10,,,,,,ds_dna_plates,,,
,,,0,G,11,,,,,,ds_dna_plates,,,
,,,0,G,12,,,,,,ds_dna_plates,,,
,,,0,H,1,,,,,,ds_dna_plates,,,
,,,0,H,2,,,,,,ds_dna_plates,,,
,,,0,H,3,,,,,,ds_dna_plates,,,
,,,0,H,4,,,,,,ds_dna_plates,,,
,,,0,H,5,,,,,,ds_dna_plates,,,
,,,0,H,6,,,,,,ds_dna_plates,,,
,,,0,H,7,,,,,,ds_dna_plates,,,
,,,0,H,8,,,,,,ds_dna_plates,,,
,,,0,H,9,,,,,,ds_dna_plates,,,
,,,0,H,10,,,,,,ds_dna_plates,,,
,,,0,H,11,,,,,,ds_dna_plates,,,
,,,0,H,12,,,,,,ds_dna_plates,,,
,,,1,A,1,,,,,,ds_dna_plates,,,
,,,1,A,2,,,,,,ds_dna_plates,,,
,,,1,A,3,,,,,,ds_dna_plates,,,
,,,1,A,4,,,,,,ds_dna_plates,,,
,,,1,A,5,,,,,,ds_dna_plates,,,
,,,1,A,6,,,,,,ds_dna_plates,,,
,,,1,A,7,,,,,,ds_dna_plates,,,
,,,1,A,8,,,,,,ds_dna_plates,,,
,,,1,A,9,,,,,,ds_dna_plates,,,
,,,1,A,10,,,,,,ds_dna_plates,,,
,,,1,A,11,,,,,,ds_dna_plates,,,
,,,1,A,12,,,,,,ds_dna_plates,,,
,,,1,B,1,,,,,,ds_dna_plates,,,
,,,1,B,2,,,,,,ds_dna_plates,,,
,,,1,B,3,,,,,,ds_dna_plates,,,
,,,1,B,4,,,,,,ds_dna_plates,,,
,,,1,B,5,,,,,,ds_dna_plates,,,
,,,1,B,6,,,,,,ds_dna_plates,,,
,,,1,B,7,,,,,,ds_dna_plates,,,
,,,1,B,8,,,,,,ds_dna_plates,,,
,,,1,B,9,,,,,,ds_dna_plates,,,
,,,1,B,10,,,,,,ds_dna_plates,,,
,,,1,B,11,,,,,,ds_dna_plates,,,
,,,1,B,12,,,,,,ds_dna_plates,,,
,,,1,C,1,,,,,,ds_dna_plates,,,
,,,1,C,2,,,,,,ds_dna_plates,,,
,,,1,C,3,,,,,,ds_dna_plates,,,
,,,1,C,4,,,,,,ds_dna_plates,,,
,,,1,C,5,,,,,,ds_dna_plates,,,
,,,1,C,6,,,,,,ds_dna_plates,,,
,,,1,C,7,,,,,,ds_dna_plates,,,
,,,1,C,8,,,,,,ds_dna_plates,,,
,,,1,C,9,,,,,,ds_dna_plates,,,
,,,1,C,10,,,,,,ds_dna_plates,,,
,,,1,C,11,,,,,,ds_dna_plates,,,
,,,1,C,12,,,,,,ds_dna_plates,,,
,,,1,D,1,,,,,,ds_dna_plates,,,
,,,1,D,2,,,,,,ds_dna_plates,,,
,,,1,D,3,,,,,,ds_dna_plates,,,
,,,1,D,4,,,,,,ds_dna_plates,,,
,,,1,D,5,,,,,,ds_dna_plates,,,
,,,1,D,6,,,,,,ds_dna_plates,,,
,,,1,D,7,,,,,,ds_dna_plates,,,
,,,1,D,8,,,,,,ds_dna_plates,,,
,,,1,D,9,,,,,,ds_dna_plates,,,
,,,1,D,10,,,,,,ds_dna_plates,,,
,,,1,D,11,,,,,,ds_dna_plates,,,
,,,1,D,12,,,,,,ds_dna_plates,,,
,,,1,E,1,,,,,,ds_dna_plates,,,
,,,1,E,2,,,,,,ds_dna_plates,,,
,,,1,E,3,,,,,,ds_dna_plates,,,
,,,1,E,4,,,,,,ds_dna_plates,,,
,,,1,E,5,,,,,,ds_dna_plates,,,
,,,1,E,6,,,,,,ds_dna_plates,,,
,,,1,E,7,,,,,,ds_dna_plates,,,
,,,1,E,8,,,,,,ds_dna_plates,,,
,,,1,E,9,,,,,,ds_dna_plates,,,
,,,1,E,10,,,,,,ds_dna_plates,,,
,,,1,E,11,,,,,,ds_dna_plates,,,
,,,1,E,12,,,,,,ds_dna_plates,,,
,,,1,F,1,,,,,,ds_dna_plates,,,
,,,1,F,2,,,,,,ds_dna_plates,,,
