,index,Line_name,Amt_norm,Genotyped
0,0,yp50_D03,245,Fully - (Promoters and enzyme homologs)
1,1,yp50_G03,156,Fully - (Promoters and enzyme homologs)
2,2,yp50_E05,144,Fully - (Promoters and enzyme homologs)
3,3,yp51_A02,135,Fully - (Promoters and enzyme homologs)
4,4,yp50_A09,134,Fully - (Promoters and enzyme homologs)
5,5,yp49_F04,131,Fully - (Promoters and enzyme homologs)
6,6,yp50_D07,123,Fully - (Promoters and enzyme homologs)
7,7,yp51_A01,122,Fully - (Promoters and enzyme homologs)
8,8,yp50_F10,100,Fully - (Promoters and enzyme homologs)
9,9,yp50_A08,82,Fully - (Promoters and enzyme homologs)
10,10,yp50_D05,82,Fully - (Promoters and enzyme homologs)
11,11,yp49_F05,78,Fully - (Promoters and enzyme homologs)
12,12,yp50_G01,76,Fully - (Promoters and enzyme homologs)
13,13,yp50_E07,75,Fully - (Promoters and enzyme homologs)
14,14,yp50_E08,72,Fully - (Promoters and enzyme homologs)
15,15,yp50_E06,64,Fully - (Promoters and enzyme homologs)
16,16,yp50_C03,57,Fully - (Promoters and enzyme homologs)
17,17,yp50_G10,55,Fully - (Promoters and enzyme homologs)
18,18,yp49_G11,51,Fully - (Promoters and enzyme homologs)
19,19,yp49_C09,38,Fully - (Promoters and enzyme homologs)
20,20,yp50_B03,36,Fully - (Promoters and enzyme homologs)
21,21,yp51_A06,36,Fully - (Promoters and enzyme homologs)
22,22,yp50_C08,34,Fully - (Promoters and enzyme homologs)
23,23,yp49_C11,34,Fully - (Promoters and enzyme homologs)
24,24,yp50_D04,31,Fully - (Promoters and enzyme homologs)
25,25,yp50_D08,30,Fully - (Promoters and enzyme homologs)
26,26,yp49_F03,27,Fully - (Promoters and enzyme homologs)
27,27,yp50_F09,26,Partially - (only enzyme homologs)
28,27,yp49_F01,25,Fully - (Promoters and enzyme homologs)
29,28,yp50_C07,22,Fully - (Promoters and enzyme homologs)
30,29,yp49_F08,19,Fully - (Promoters and enzyme homologs)
31,30,yp50_D06,17,Fully - (Promoters and enzyme homologs)
32,31,yp50_B02,17,Fully - (Promoters and enzyme homologs)
33,32,yp50_D02,17,Fully - (Promoters and enzyme homologs)
34,33,yp51_C06,14,Fully - (Promoters and enzyme homologs)
35,34,yp50_F05,13,Fully - (Promoters and enzyme homologs)
36,35,yp50_D01,13,Fully - (Promoters and enzyme homologs)
37,36,yp51_A08,13,Fully - (Promoters and enzyme homologs)
38,37,yp50_C12,11,Fully - (Promoters and enzyme homologs)
39,39,yp50_A07,9,Fully - (Promoters and enzyme homologs)
40,38,yp50_A02,9,Fully - (Promoters and enzyme homologs)
41,40,yp50_F04,8,Fully - (Promoters and enzyme homologs)
42,42,yp50_E11,7,Partially - (only enzyme homologs)
43,41,yp49_E04,6,Fully - (Promoters and enzyme homologs)
44,42,yp49_E10,6,Fully - (Promoters and enzyme homologs)
45,43,yp51_B11,6,Fully - (Promoters and enzyme homologs)
46,44,yp51_E07,6,Fully - (Promoters and enzyme homologs)
47,45,yp50_B11,5,Fully - (Promoters and enzyme homologs)
48,46,yp50_H01,4,Fully - (Promoters and enzyme homologs)
49,47,yp50_F07,4,Fully - (Promoters and enzyme homologs)
50,48,yp49_F12,4,Fully - (Promoters and enzyme homologs)
51,52,yp51_E09,4,Partially - (only enzyme homologs)
52,50,yp49_G04,4,Partially - (only enzyme homologs)
53,57,yp50_G04,3,Fully - (Promoters and enzyme homologs)
54,56,yp50_B10,3,Fully - (Promoters and enzyme homologs)
55,55,yp51_A07,3,Fully - (Promoters and enzyme homologs)
56,54,yp50_G11,3,Fully - (Promoters and enzyme homologs)
57,53,yp49_G01,3,Fully - (Promoters and enzyme homologs)
58,52,yp50_C10,3,Fully - (Promoters and enzyme homologs)
59,51,yp50_A12,3,Fully - (Promoters and enzyme homologs)
60,50,yp51_C09,3,Fully - (Promoters and enzyme homologs)
61,62,yp51_E10,3,Partially - (only enzyme homologs)
62,49,yp51_A05,3,Fully - (Promoters and enzyme homologs)
63,61,yp51_B01,2,Fully - (Promoters and enzyme homologs)
64,60,yp51_D06,2,Fully - (Promoters and enzyme homologs)
65,59,yp49_F09,2,Fully - (Promoters and enzyme homologs)
66,58,yp51_A04,2,Fully - (Promoters and enzyme homologs)
