position,Sample name,Cellular compartment,Medium,Sample Type,Temperature (C),Timepoint (h),Cultivation Container ID/Position,Operator Name,Replicate #,Strain,Genotype,Date of sampling,old position,plate,Unnamed: 12
A01,20210922MIA-HA-116_1,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,1.0,MIA-HA-116,VminG8H AanCPR,20210922.0,A01,yp53,
A02,20210922MIA-HA-116_2,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,2.0,MIA-HA-116,VminG8H AanCPR,20210922.0,A02,yp53,
A03,20210922MIA-HA-116_3,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,3.0,MIA-HA-116,VminG8H AanCPR,20210922.0,A03,yp53,
A04,20210922MIA-HA-116_4,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,4.0,MIA-HA-116,VminG8H AanCPR,20210922.0,A04,yp53,
A05,20210922MIA-HA-117_1,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,1.0,MIA-HA-117,SmusG8H AanCPR,20210922.0,A05,yp53,
A06,20210922MIA-HA-117_2,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,2.0,MIA-HA-117,SmusG8H AanCPR,20210922.0,A06,yp53,
A07,20210922MIA-HA-117_3,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,3.0,MIA-HA-117,SmusG8H AanCPR,20210922.0,A07,yp53,
A08,20210922MIA-HA-117_4,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,4.0,MIA-HA-117,SmusG8H AanCPR,20210922.0,A08,yp53,
A09,20210922MIA-HA-118_1,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,1.0,MIA-HA-118,RsepG8H AanCPR,20210922.0,A09,yp53,
A10,20210922MIA-HA-118_2,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,2.0,MIA-HA-118,RsepG8H AanCPR,20210922.0,A10,yp53,
A11,20210922MIA-HA-118_3,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,3.0,MIA-HA-118,RsepG8H AanCPR,20210922.0,A11,yp53,
A12,20210922MIA-HA-118_4,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,4.0,MIA-HA-118,RsepG8H AanCPR,20210922.0,A12,yp53,
B01,20210922MIA-HA-119_1,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,1.0,MIA-HA-119,CroG8H AanCPR,20210922.0,B01,yp53,
B02,20210922MIA-HA-119_2,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,2.0,MIA-HA-119,CroG8H AanCPR,20210922.0,B02,yp53,
B03,20210922MIA-HA-119_3,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,3.0,MIA-HA-119,CroG8H AanCPR,20210922.0,B03,yp53,
B04,20210922MIA-HA-119_4,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,4.0,MIA-HA-119,CroG8H AanCPR,20210922.0,B04,yp53,
B05,20210922MIA-HA-120_1,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,1.0,MIA-HA-120,OeuG8H AanCPR,20210922.0,B05,yp53,
B06,20210922MIA-HA-120_2,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,2.0,MIA-HA-120,OeuG8H AanCPR,20210922.0,B06,yp53,
B07,20210922MIA-HA-120_3,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,3.0,MIA-HA-120,OeuG8H AanCPR,20210922.0,B07,yp53,
B08,20210922MIA-HA-120_4,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,4.0,MIA-HA-120,OeuG8H AanCPR,20210922.0,B08,yp53,
B09,20210922MIA-HA-126_1,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,1.0,MIA-HA-126,VminG8H CloCPR,20210922.0,B09,yp53,
B10,20210922MIA-HA-126_2,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,2.0,MIA-HA-126,VminG8H CloCPR,20210922.0,B10,yp53,
B11,20210922MIA-HA-126_3,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,3.0,MIA-HA-126,VminG8H CloCPR,20210922.0,B11,yp53,
B12,20210922MIA-HA-126_4,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,4.0,MIA-HA-126,VminG8H CloCPR,20210922.0,B12,yp53,
C01,20210922MIA-HA-127_1,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,1.0,MIA-HA-127,SmusG8H CloCPR,20210922.0,C01,yp53,
C02,20210922MIA-HA-127_2,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,2.0,MIA-HA-127,SmusG8H CloCPR,20210922.0,C02,yp53,
C03,20210922MIA-HA-127_3,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,3.0,MIA-HA-127,SmusG8H CloCPR,20210922.0,C03,yp53,
C04,20210922MIA-HA-127_4,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,4.0,MIA-HA-127,SmusG8H CloCPR,20210922.0,C04,yp53,
C05,20210922MIA-HA-128_1,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,1.0,MIA-HA-128,RsepG8H CloCPR,20210922.0,C05,yp53,
C06,20210922MIA-HA-128_2,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,2.0,MIA-HA-128,RsepG8H CloCPR,20210922.0,C06,yp53,
C07,20210922MIA-HA-128_3,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,3.0,MIA-HA-128,RsepG8H CloCPR,20210922.0,C07,yp53,
C08,20210922MIA-HA-128_4,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,4.0,MIA-HA-128,RsepG8H CloCPR,20210922.0,C08,yp53,
C09,20210922MIA-HA-129_1,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,1.0,MIA-HA-129,CroG8H CloCPR,20210922.0,C09,yp53,
C10,20210922MIA-HA-129_2,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,2.0,MIA-HA-129,CroG8H CloCPR,20210922.0,C10,yp53,
C11,20210922MIA-HA-129_3,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,3.0,MIA-HA-129,CroG8H CloCPR,20210922.0,C11,yp53,
C12,20210922MIA-HA-129_4,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,4.0,MIA-HA-129,CroG8H CloCPR,20210922.0,C12,yp53,
D01,20210922MIA-HA-130_1,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,1.0,MIA-HA-130,OeuG8H CloCPR,20210922.0,D01,yp53,
D02,20210922MIA-HA-130_2,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,2.0,MIA-HA-130,OeuG8H CloCPR,20210922.0,D02,yp53,
D03,20210922MIA-HA-130_3,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,3.0,MIA-HA-130,OeuG8H CloCPR,20210922.0,D03,yp53,
D04,20210922MIA-HA-130_4,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,4.0,MIA-HA-130,OeuG8H CloCPR,20210922.0,D04,yp53,
D05,20210922MIA-HA-131_1,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,1.0,MIA-HA-131,VminG8H RseCPR,20210922.0,D05,yp53,
D06,20210922MIA-HA-131_2,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,2.0,MIA-HA-131,VminG8H RseCPR,20210922.0,D06,yp53,
D07,20210922MIA-HA-131_3,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,3.0,MIA-HA-131,VminG8H RseCPR,20210922.0,D07,yp53,
D08,20210922MIA-HA-131_4,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,4.0,MIA-HA-131,VminG8H RseCPR,20210922.0,D08,yp53,
D09,20210922MIA-HA-132_1,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,1.0,MIA-HA-132,SmusG8H RseCPR,20210922.0,D09,yp53,
D10,20210922MIA-HA-132_2,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,2.0,MIA-HA-132,SmusG8H RseCPR,20210922.0,D10,yp53,
D11,20210922MIA-HA-132_3,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,3.0,MIA-HA-132,SmusG8H RseCPR,20210922.0,D11,yp53,
D12,20210922MIA-HA-132_4,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,4.0,MIA-HA-132,SmusG8H RseCPR,20210922.0,D12,yp53,
E01,20210922MIA-HA-133_1,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,1.0,MIA-HA-133,RsepG8H RseCPR,20210922.0,E01,yp53,
E02,20210922MIA-HA-133_2,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,2.0,MIA-HA-133,RsepG8H RseCPR,20210922.0,E02,yp53,
E03,20210922MIA-HA-133_3,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,3.0,MIA-HA-133,RsepG8H RseCPR,20210922.0,E03,yp53,
E04,20210922MIA-HA-133_4,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,4.0,MIA-HA-133,RsepG8H RseCPR,20210922.0,E04,yp53,
E05,20210922MIA-HA-134_1,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,1.0,MIA-HA-134,CroG8H RseCPR,20210922.0,E05,yp53,
E06,20210922MIA-HA-134_2,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,2.0,MIA-HA-134,CroG8H RseCPR,20210922.0,E06,yp53,
E07,20210922MIA-HA-134_3,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,3.0,MIA-HA-134,CroG8H RseCPR,20210922.0,E07,yp53,
E08,20210922MIA-HA-134_4,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,4.0,MIA-HA-134,CroG8H RseCPR,20210922.0,E08,yp53,
E09,20210922MIA-HA-135_1,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,1.0,MIA-HA-135,OeuG8H RseCPR,20210922.0,E09,yp53,
E10,20210922MIA-HA-135_2,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,2.0,MIA-HA-135,OeuG8H RseCPR,20210922.0,E10,yp53,
E11,20210922MIA-HA-135_3,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,3.0,MIA-HA-135,OeuG8H RseCPR,20210922.0,E11,yp53,
E12,20210922MIA-HA-135_4,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,4.0,MIA-HA-135,OeuG8H RseCPR,20210922.0,E12,yp53,
F01,20210922MIA-HA-141_1,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,1.0,MIA-HA-141,VminG8H AniCPR,20210922.0,G01,yp53,
F02,20210922MIA-HA-141_2,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,2.0,MIA-HA-141,VminG8H AniCPR,20210922.0,G02,yp53,
F03,20210922MIA-HA-141_3,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,3.0,MIA-HA-141,VminG8H AniCPR,20210922.0,G03,yp53,
F04,20210922MIA-HA-141_4,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,4.0,MIA-HA-141,VminG8H AniCPR,20210922.0,G04,yp53,
F05,20210922MIA-HA-142_1,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,1.0,MIA-HA-142,SmusG8H AniCPR,20210922.0,G05,yp53,
F06,20210922MIA-HA-142_2,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,2.0,MIA-HA-142,SmusG8H AniCPR,20210922.0,G06,yp53,
F07,20210922MIA-HA-142_3,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,3.0,MIA-HA-142,SmusG8H AniCPR,20210922.0,G07,yp53,
F08,20210922MIA-HA-142_4,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,4.0,MIA-HA-142,SmusG8H AniCPR,20210922.0,G08,yp53,
F09,20210922MIA-HA-143_1,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,1.0,MIA-HA-143,RsepG8H AniCPR,20210922.0,G09,yp53,
F10,20210922MIA-HA-143_2,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,2.0,MIA-HA-143,RsepG8H AniCPR,20210922.0,G10,yp53,
F11,20210922MIA-HA-143_3,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,3.0,MIA-HA-143,RsepG8H AniCPR,20210922.0,G11,yp53,
F12,20210922MIA-HA-143_4,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,4.0,MIA-HA-143,RsepG8H AniCPR,20210922.0,G12,yp53,
G01,20210922MIA-HA-144_1,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,1.0,MIA-HA-144,CroG8H AniCPR,20210922.0,H01,yp53,
G02,20210922MIA-HA-144_2,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,2.0,MIA-HA-144,CroG8H AniCPR,20210922.0,H02,yp53,
G03,20210922MIA-HA-144_3,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,3.0,MIA-HA-144,CroG8H AniCPR,20210922.0,H03,yp53,
G04,20210922MIA-HA-144_4,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,4.0,MIA-HA-144,CroG8H AniCPR,20210922.0,H04,yp53,
G05,20210922n.ctr(36)_1,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,1.0,n.ctr(36),,20210922.0,H05,yp53,
G06,20210922MIA-HA-2_006_1,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,1.0,MIA-HA-2_006,,20210922.0,H06,yp53,
G07,20210922MIA-HA-2_006_2,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,2.0,MIA-HA-2_006,,20210922.0,H07,yp53,
G08,20210922MIA-HA-3_001_1,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,1.0,MIA-HA-3_001,,20210922.0,H08,yp53,
G09,20210922MIA-HA-3_001_2,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,2.0,MIA-HA-3_001,,20210922.0,H09,yp53,
G10,,,,Blank,,,,,,,,,,yp53,
G11,,,,Blank,,,,,,,,,,yp53,
G12,,,,Blank,,,,,,,,,,yp53,
H01,,,,Blank,,,,,,,,,,yp53,
H02,,,,Blank,,,,,,,,,,yp53,
H03,,,,Blank,,,,,,,,,,yp53,
H04,,,,Blank,,,,,,,,,,yp53,
H05,,,,Blank,,,,,,,,,,yp53,
H06,,,,Blank,,,,,,,,,,yp53,
H07,20210922MIA-CH-A2_1,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,1.0,MIA-CH-A2,,20210922.0,F01,yp53,
H08,20210922MIA-CH-A2_2,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,2.0,MIA-CH-A2,,20210922.0,F02,yp53,
H09,20210922MIA-CH-A2_3,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,3.0,MIA-CH-A2,,20210922.0,F03,yp53,
H10,20210922MIA-CH-A2_4,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,4.0,MIA-CH-A2,,20210922.0,F04,yp53,
H11,20210922MIA-CM-3_1,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,1.0,MIA-CM-3,,20210922.0,F05,yp53,
H12,20210922BLANK_1,Extracellular Region,YPD,Blank,30.0,144.0,,Christine Møller Pedersen,1.0,BLANK,,20210922.0,F06,yp53,
A01,MIA-HA-111_1,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,1.0,MIA-HA-111,VminG8H CroCPR,,,yp54,
A02,MIA-HA-111_2,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,2.0,MIA-HA-111,VminG8H CroCPR,,,yp54,
A03,MIA-HA-111_3,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,3.0,MIA-HA-111,VminG8H CroCPR,,,yp54,
A04,MIA-HA-111_4,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,4.0,MIA-HA-111,VminG8H CroCPR,,,yp54,
A05,MIA-HA-112_1,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,1.0,MIA-HA-112,SmusG8H CroCPR,,,yp54,
A06,MIA-HA-112_2,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,2.0,MIA-HA-112,SmusG8H CroCPR,,,yp54,
A07,MIA-HA-112_3,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,3.0,MIA-HA-112,SmusG8H CroCPR,,,yp54,
A08,MIA-HA-112_4,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,4.0,MIA-HA-112,SmusG8H CroCPR,,,yp54,
A09,MIA-HA-113_1,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,1.0,MIA-HA-113,RsepG8H CroCPR,,,yp54,
A10,MIA-HA-113_2,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,2.0,MIA-HA-113,RsepG8H CroCPR,,,yp54,
A11,MIA-HA-113_3,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,3.0,MIA-HA-113,RsepG8H CroCPR,,,yp54,
A12,MIA-HA-113_4,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,4.0,MIA-HA-113,RsepG8H CroCPR,,,yp54,
B01,MIA-HA-114_1,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,1.0,MIA-HA-114,CroG8H CroCPR,,,yp54,
B02,MIA-HA-114_2,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,2.0,MIA-HA-114,CroG8H CroCPR,,,yp54,
B03,MIA-HA-114_3,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,3.0,MIA-HA-114,CroG8H CroCPR,,,yp54,
B04,MIA-HA-114_4,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,4.0,MIA-HA-114,CroG8H CroCPR,,,yp54,
B05,MIA-HA-115_1,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,1.0,MIA-HA-115,OeuG8H CroCPR,,,yp54,
B06,MIA-HA-115_2,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,2.0,MIA-HA-115,OeuG8H CroCPR,,,yp54,
B07,MIA-HA-115_3,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,3.0,MIA-HA-115,OeuG8H CroCPR,,,yp54,
B08,MIA-HA-115_4,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,4.0,MIA-HA-115,OeuG8H CroCPR,,,yp54,
B09,MIA-HA-121_1,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,1.0,MIA-HA-121,VminG8H AraCPR,,,yp54,
B10,MIA-HA-121_2,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,2.0,MIA-HA-121,VminG8H AraCPR,,,yp54,
B11,MIA-HA-121_3,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,3.0,MIA-HA-121,VminG8H AraCPR,,,yp54,
B12,MIA-HA-121_4,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,4.0,MIA-HA-121,VminG8H AraCPR,,,yp54,
C01,MIA-HA-122_1,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,1.0,MIA-HA-122,SmusG8H AraCPR,,,yp54,
C02,MIA-HA-122_2,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,2.0,MIA-HA-122,SmusG8H AraCPR,,,yp54,
C03,MIA-HA-122_3,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,3.0,MIA-HA-122,SmusG8H AraCPR,,,yp54,
C04,MIA-HA-122_4,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,4.0,MIA-HA-122,SmusG8H AraCPR,,,yp54,
C05,MIA-HA-123_1,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,1.0,MIA-HA-123,RsepG8H AraCPR,,,yp54,
C06,MIA-HA-123_2,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,2.0,MIA-HA-123,RsepG8H AraCPR,,,yp54,
