data_file,sample_notes,Amt_ug_L_Loganic acid,Amt_ug_L_Loganin,Amt_ug_L_Secologanin,Amt_ug_L_Strictosidine,Amt_ug_L_Tryptamine,,Amt_uM_Loganic acid,Amt_uM_Loganin,Amt_uM_Secologanin,Amt_uM_Strictosidine,Amt_uM_Tryptamine
210608_TMET525_002.xms,QC00_v13_#7,NA,9201.104,1622418,3692.467,9340.771,,NA,23.5696091,4177.505987,6.959434193,58.29965672
210608_TMET525_007.xms,0.1 mg/L str_v13_YPD#2,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
210608_TMET525_026.xms,96WPYP50_A9,NA,2198.484,NA,24782.979,319017.656,,NA,5.631651212,NA,46.71010234,1991.122556
210608_TMET525_027.xms,96WPYP50_A10,NA,NA,NA,53.615,222686.484,,NA,NA,NA,0.101051699,1389.879441
210608_TMET525_033.xms,96WPYP50_B3,NA,NA,NA,6810.006,275053.344,,NA,NA,NA,12.83526396,1716.722906
210608_TMET525_035.xms,96WPYP50_B5,NA,NA,NA,NA,237495.953,,NA,NA,NA,NA,1482.311528
210608_TMET525_039.xms,96WPYP50_B9,NA,NA,NA,NA,144548.344,,NA,NA,NA,NA,902.1866434
210608_TMET525_045.xms,96WPYP50_C2,NA,NA,NA,502.958,140662.891,,NA,NA,NA,0.947957857,877.9359069
210608_TMET525_047.xms,96WPYP50_C4,NA,NA,NA,NA,135577.25,,NA,NA,NA,NA,846.1942953
210608_TMET525_048.xms,96WPYP50_C5,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
210608_TMET525_052.xms,96WPYP50_C9,NA,NA,NA,NA,144836.219,,NA,NA,NA,NA,903.9833916
210608_TMET525_062.xms,96WPYP50_D6,NA,NA,NA,3151.97,230412.844,,NA,NA,NA,5.940724127,1438.102884
210608_TMET525_128.xms,96WPYP50_H7,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
210608_TMET525_129.xms,96WPYP50_H8,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
210608_TMET525_130.xms,96WPYP50_H9,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
210608_TMET525_131.xms,96WPYP50_H10,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
210608_TMET525_132.xms,96WPYP50_H11,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
210608_TMET525_133.xms,96WPYP50_H12,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
210608_TMET525_151.xms,96WPYP51_A3,NA,NA,NA,NA,161891.109,,NA,NA,NA,NA,1010.43009
210608_TMET525_152.xms,96WPYP51_A4,NA,NA,NA,364.357,210559.844,,NA,NA,NA,0.686727482,1314.192011
210608_TMET525_157.xms,96WPYP51_A9,NA,NA,NA,35.156,152828.172,,NA,NA,NA,0.066260814,953.8645113
210608_TMET525_159.xms,96WPYP51_A11,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
210608_TMET525_168.xms,96WPYP51_B7,NA,NA,NA,NA,174474.375,,NA,NA,NA,NA,1088.967513
210608_TMET525_170.xms,96WPYP51_B9,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
210608_TMET525_171.xms,96WPYP51_B10,NA,NA,NA,NA,148196.016,,NA,NA,NA,NA,924.9532892
210608_TMET525_183.xms,96WPYP51_C9,NA,NA,NA,635.814,153151.547,,NA,NA,NA,1.198360254,955.8828299
210608_TMET525_190.xms,96WPYP51_D3,NA,NA,NA,435.357,192787.297,,NA,NA,NA,0.820545828,1203.266115
210608_TMET525_217.xms,96WPYP51_E4,NA,NA,NA,28.191,151586.5,,NA,NA,NA,0.053133423,946.1147173
