data_file,sample_notes,Amt_ug_L_Loganin,Amt_ug_L_Secologanin,Amt_ug_L_Strictosidine,Amt_ug_L_Tryptamine,Amt_uM_Loganin,Amt_uM_Secologanin,Amt_uM_Strictosidine,Amt_uM_Tryptamine
211001_TMET581_002.xms,QC00_v13_#7,9618.231,NA,3785.202,NA,24.63812439,NA,7.134217917,NA
211001_TMET581_018.xms,96WP1248_A1,NA,NA,2499.977,169627.219,NA,NA,4.711870253,1058.714386
211001_TMET581_019.xms,96WP1248_A2,NA,NA,3612.135,159320.859,NA,NA,6.808027216,994.3880851
211001_TMET581_020.xms,96WP1248_A3,969.343,NA,13158.711,151754.859,2.483075465,NA,24.80108374,947.1655162
211001_TMET581_021.xms,96WP1248_A4,NA,NA,2295.757,140471.141,NA,NA,4.326963454,876.739115
211001_TMET581_022.xms,96WP1248_A5,2235.003,NA,16956.184,138898.438,5.725198525,NA,31.95842961,866.9232181
211001_TMET581_023.xms,96WP1248_A6,300.151,NA,2482.928,145062.469,0.768868795,NA,4.679736887,905.3955124
211001_TMET581_024.xms,96WP1248_A7,2958.006,NA,13138.947,156153.672,7.57724781,NA,24.76383324,974.620347
211001_TMET581_025.xms,96WP1248_A8,783.282,NA,12451.539,147332.266,2.006460372,NA,23.46823039,919.5622644
211001_TMET581_026.xms,96WP1248_A9,1711.496,NA,17188.648,144460.219,4.384179517,NA,32.39656973,901.6366184
211001_TMET581_027.xms,96WP1248_A10,NA,NA,5725.484,148509.031,NA,NA,10.79119438,926.9069467
211001_TMET581_028.xms,96WP1248_A11,1232.453,NA,17196.078,144165.656,3.157059788,NA,32.41057353,899.7981276
211001_TMET581_029.xms,96WP1248_A12,892.515,NA,17201.914,132676.797,2.28627235,NA,32.42157303,828.0913556
211001_TMET581_031.xms,96WP1248_B1,1529.094,NA,20715.93,155228.609,3.916937343,NA,39.04466894,968.8466421
211001_TMET581_032.xms,96WP1248_B2,NA,NA,35.252,123467.602,NA,NA,0.066441751,770.6129197
211001_TMET581_033.xms,96WP1248_B3,1914.824,NA,20303.846,145450.313,4.905025872,NA,38.26798726,907.816209
211001_TMET581_034.xms,96WP1248_B4,NA,NA,7459.594,155463.672,NA,NA,14.05958497,970.3137686
211001_TMET581_035.xms,96WP1248_B5,1147.983,NA,17371.82,164460.703,2.940680875,NA,32.74180598,1026.468
211001_TMET581_036.xms,96WP1248_B6,NA,NA,1235.041,149023.25,NA,NA,2.327762595,930.1164024
211001_TMET581_037.xms,96WP1248_B7,460.509,NA,2443.086,127160.617,1.179642912,NA,4.604644062,793.6625702
211001_TMET581_038.xms,96WP1248_B8,1143.118,NA,8497.664,157481,2.928218659,NA,16.01610344,982.904756
211001_TMET581_039.xms,96WP1248_B9,NA,NA,2498.219,135989.563,NA,NA,4.708556835,848.7677131
211001_TMET581_040.xms,96WP1248_B10,298.049,NA,9894.517,130513.664,0.763484297,NA,18.6488437,814.5903383
