,0,1,2,3
0,1,1,5,1
1,1,1,5,2
3,1,1,5,4
4,1,1,5,5
6,1,1,5,7
7,1,1,5,8
8,1,1,5,9
10,1,1,6,1
11,1,1,6,2
12,1,1,6,3
13,1,1,6,4
14,1,1,6,5
15,1,1,6,6
16,1,1,6,7
17,1,1,6,8
18,1,1,6,9
19,1,1,6,10
20,1,1,7,1
21,1,1,7,2
22,1,1,7,3
23,1,1,7,4
24,1,1,7,5
25,1,1,7,6
26,1,1,7,7
27,1,1,7,8
28,1,1,7,9
29,1,1,7,10
30,1,1,8,1
31,1,1,8,2
33,1,1,8,4
35,1,1,8,6
36,1,1,8,7
38,1,1,8,9
39,1,1,8,10
41,1,2,5,2
42,1,2,5,3
43,1,2,5,4
44,1,2,5,5
45,1,2,5,6
46,1,2,5,7
47,1,2,5,8
49,1,2,5,10
50,1,2,6,1
52,1,2,6,3
53,1,2,6,4
54,1,2,6,5
55,1,2,6,6
56,1,2,6,7
58,1,2,6,9
59,1,2,6,10
60,1,2,7,1
61,1,2,7,2
62,1,2,7,3
63,1,2,7,4
64,1,2,7,5
65,1,2,7,6
66,1,2,7,7
67,1,2,7,8
68,1,2,7,9
69,1,2,7,10
70,1,2,8,1
71,1,2,8,2
72,1,2,8,3
73,1,2,8,4
75,1,2,8,6
76,1,2,8,7
77,1,2,8,8
78,1,2,8,9
79,1,2,8,10
80,1,3,5,1
81,1,3,5,2
82,1,3,5,3
83,1,3,5,4
84,1,3,5,5
86,1,3,5,7
87,1,3,5,8
88,1,3,5,9
89,1,3,5,10
90,1,3,6,1
91,1,3,6,2
92,1,3,6,3
93,1,3,6,4
94,1,3,6,5
95,1,3,6,6
96,1,3,6,7
97,1,3,6,8
99,1,3,6,10
100,1,3,7,1
101,1,3,7,2
103,1,3,7,4
104,1,3,7,5
105,1,3,7,6
106,1,3,7,7
107,1,3,7,8
108,1,3,7,9
109,1,3,7,10
112,1,3,8,3
113,1,3,8,4
114,1,3,8,5
116,1,3,8,7
117,1,3,8,8
119,1,3,8,10
120,1,4,5,1
121,1,4,5,2
122,1,4,5,3
123,1,4,5,4
124,1,4,5,5
125,1,4,5,6
126,1,4,5,7
127,1,4,5,8
128,1,4,5,9
129,1,4,5,10
130,1,4,6,1
131,1,4,6,2
132,1,4,6,3
133,1,4,6,4
134,1,4,6,5
135,1,4,6,6
136,1,4,6,7
137,1,4,6,8
138,1,4,6,9
139,1,4,6,10
140,1,4,7,1
141,1,4,7,2
142,1,4,7,3
143,1,4,7,4
144,1,4,7,5
145,1,4,7,6
146,1,4,7,7
147,1,4,7,8
148,1,4,7,9
149,1,4,7,10
150,1,4,8,1
151,1,4,8,2
152,1,4,8,3
153,1,4,8,4
154,1,4,8,5
155,1,4,8,6
156,1,4,8,7
157,1,4,8,8
158,1,4,8,9
159,1,4,8,10
160,2,1,5,1
161,2,1,5,2
162,2,1,5,3
163,2,1,5,4
164,2,1,5,5
165,2,1,5,6
167,2,1,5,8
168,2,1,5,9
169,2,1,5,10
170,2,1,6,1
171,2,1,6,2
172,2,1,6,3
173,2,1,6,4
174,2,1,6,5
175,2,1,6,6
176,2,1,6,7
178,2,1,6,9
179,2,1,6,10
180,2,1,7,1
181,2,1,7,2
182,2,1,7,3
183,2,1,7,4
184,2,1,7,5
185,2,1,7,6
186,2,1,7,7
187,2,1,7,8
188,2,1,7,9
189,2,1,7,10
190,2,1,8,1
191,2,1,8,2
192,2,1,8,3
193,2,1,8,4
194,2,1,8,5
195,2,1,8,6
196,2,1,8,7
197,2,1,8,8
198,2,1,8,9
199,2,1,8,10
202,2,2,5,3
203,2,2,5,4
204,2,2,5,5
205,2,2,5,6
206,2,2,5,7
207,2,2,5,8
208,2,2,5,9
209,2,2,5,10
210,2,2,6,1
211,2,2,6,2
212,2,2,6,3
213,2,2,6,4
214,2,2,6,5
215,2,2,6,6
216,2,2,6,7
217,2,2,6,8
218,2,2,6,9
220,2,2,7,1
221,2,2,7,2
222,2,2,7,3
223,2,2,7,4
225,2,2,7,6
226,2,2,7,7
227,2,2,7,8
228,2,2,7,9
230,2,2,8,1
231,2,2,8,2
232,2,2,8,3
233,2,2,8,4
234,2,2,8,5
235,2,2,8,6
236,2,2,8,7
237,2,2,8,8
238,2,2,8,9
239,2,2,8,10
240,2,3,5,1
241,2,3,5,2
242,2,3,5,3
243,2,3,5,4
244,2,3,5,5
245,2,3,5,6
246,2,3,5,7
247,2,3,5,8
248,2,3,5,9
249,2,3,5,10
250,2,3,6,1
251,2,3,6,2
252,2,3,6,3
253,2,3,6,4
254,2,3,6,5
255,2,3,6,6
256,2,3,6,7
257,2,3,6,8
258,2,3,6,9
259,2,3,6,10
260,2,3,7,1
261,2,3,7,2
262,2,3,7,3
263,2,3,7,4
264,2,3,7,5
265,2,3,7,6
266,2,3,7,7
269,2,3,7,10
270,2,3,8,1
271,2,3,8,2
272,2,3,8,3
275,2,3,8,6
276,2,3,8,7
277,2,3,8,8
278,2,3,8,9
280,2,4,5,1
284,2,4,5,5
285,2,4,5,6
286,2,4,5,7
287,2,4,5,8
288,2,4,5,9
289,2,4,5,10
290,2,4,6,1
291,2,4,6,2
292,2,4,6,3
293,2,4,6,4
294,2,4,6,5
296,2,4,6,7
297,2,4,6,8
298,2,4,6,9
299,2,4,6,10
300,2,4,7,1
301,2,4,7,2
303,2,4,7,4
304,2,4,7,5
305,2,4,7,6
307,2,4,7,8
308,2,4,7,9
309,2,4,7,10
310,2,4,8,1
311,2,4,8,2
312,2,4,8,3
313,2,4,8,4
314,2,4,8,5
315,2,4,8,6
316,2,4,8,7
317,2,4,8,8
319,2,4,8,10
320,3,1,5,1
321,3,1,5,2
322,3,1,5,3
323,3,1,5,4
324,3,1,5,5
325,3,1,5,6
326,3,1,5,7
327,3,1,5,8
328,3,1,5,9
329,3,1,5,10
331,3,1,6,2
332,3,1,6,3
333,3,1,6,4
334,3,1,6,5
335,3,1,6,6
336,3,1,6,7
338,3,1,6,9
