,0,1,2,3
0,1,1,5,1
1,1,1,5,2
2,1,1,5,4
3,1,1,5,5
4,1,1,5,7
5,1,1,5,8
6,1,1,5,9
7,1,1,6,1
8,1,1,6,2
9,1,1,6,3
10,1,1,6,4
11,1,1,6,5
12,1,1,6,6
13,1,1,6,7
14,1,1,6,8
15,1,1,6,9
16,1,1,6,10
17,1,1,7,1
18,1,1,7,2
19,1,1,7,3
20,1,1,7,4
21,1,1,7,5
22,1,1,7,6
23,1,1,7,7
24,1,1,7,8
25,1,1,7,9
26,1,1,7,10
27,1,1,8,1
28,1,1,8,2
29,1,1,8,4
30,1,1,8,6
31,1,1,8,7
32,1,1,8,9
33,1,1,8,10
34,1,2,5,2
35,1,2,5,3
36,1,2,5,4
37,1,2,5,5
38,1,2,5,6
39,1,2,5,7
40,1,2,5,8
41,1,2,5,10
42,1,2,6,1
43,1,2,6,3
44,1,2,6,4
45,1,2,6,5
46,1,2,6,6
47,1,2,6,7
48,1,2,6,9
49,1,2,6,10
50,1,2,7,1
51,1,2,7,2
52,1,2,7,3
53,1,2,7,4
54,1,2,7,5
55,1,2,7,6
56,1,2,7,7
57,1,2,7,8
58,1,2,7,9
59,1,2,7,10
60,1,2,8,1
61,1,2,8,2
62,1,2,8,3
63,1,2,8,4
64,1,2,8,6
65,1,2,8,7
66,1,2,8,8
67,1,2,8,9
68,1,2,8,10
69,1,3,5,1
70,1,3,5,2
71,1,3,5,3
72,1,3,5,4
73,1,3,5,5
74,1,3,5,7
75,1,3,5,8
76,1,3,5,9
77,1,3,5,10
78,1,3,6,1
79,1,3,6,2
80,1,3,6,3
81,1,3,6,4
82,1,3,6,5
83,1,3,6,6
84,1,3,6,7
85,1,3,6,8
86,1,3,6,10
87,1,3,7,1
88,1,3,7,2
89,1,3,7,4
90,1,3,7,5
91,1,3,7,6
92,1,3,7,7
93,1,3,7,8
94,1,3,7,9
95,1,3,7,10
96,1,3,8,3
97,1,3,8,4
98,1,3,8,5
99,1,3,8,7
100,1,3,8,8
101,1,3,8,10
102,1,4,5,1
103,1,4,5,2
104,1,4,5,3
105,1,4,5,4
106,1,4,5,5
107,1,4,5,6
108,1,4,5,7
109,1,4,5,8
110,1,4,5,9
111,1,4,5,10
112,1,4,6,1
113,1,4,6,2
114,1,4,6,3
115,1,4,6,4
116,1,4,6,5
117,1,4,6,6
118,1,4,6,7
119,1,4,6,8
120,1,4,6,9
121,1,4,6,10
122,1,4,7,1
123,1,4,7,2
124,1,4,7,3
125,1,4,7,4
126,1,4,7,5
127,1,4,7,6
128,1,4,7,7
129,1,4,7,8
130,1,4,7,9
131,1,4,7,10
132,1,4,8,1
133,1,4,8,2
134,1,4,8,3
135,1,4,8,4
136,1,4,8,5
137,1,4,8,6
138,1,4,8,7
139,1,4,8,8
140,1,4,8,9
141,1,4,8,10
142,2,1,5,1
143,2,1,5,2
144,2,1,5,3
145,2,1,5,4
146,2,1,5,5
147,2,1,5,6
148,2,1,5,8
149,2,1,5,9
150,2,1,5,10
151,2,1,6,1
152,2,1,6,2
153,2,1,6,3
154,2,1,6,4
155,2,1,6,5
156,2,1,6,6
157,2,1,6,7
158,2,1,6,9
159,2,1,6,10
160,2,1,7,1
161,2,1,7,2
162,2,1,7,3
163,2,1,7,4
164,2,1,7,5
165,2,1,7,6
166,2,1,7,7
167,2,1,7,8
168,2,1,7,9
169,2,1,7,10
170,2,1,8,1
171,2,1,8,2
172,2,1,8,3
173,2,1,8,4
174,2,1,8,5
175,2,1,8,6
176,2,1,8,7
177,2,1,8,8
178,2,1,8,9
179,2,1,8,10
180,2,2,5,3
181,2,2,5,4
182,2,2,5,5
183,2,2,5,6
184,2,2,5,7
185,2,2,5,8
186,2,2,5,9
187,2,2,5,10
188,2,2,6,1
189,2,2,6,2
190,2,2,6,3
191,2,2,6,4
192,2,2,6,5
193,2,2,6,6
194,2,2,6,7
195,2,2,6,8
196,2,2,6,9
197,2,2,7,1
198,2,2,7,2
199,2,2,7,3
200,2,2,7,4
201,2,2,7,6
202,2,2,7,7
203,2,2,7,8
204,2,2,7,9
205,2,2,8,1
206,2,2,8,2
207,2,2,8,3
208,2,2,8,4
209,2,2,8,5
210,2,2,8,6
211,2,2,8,7
212,2,2,8,8
213,2,2,8,9
214,2,2,8,10
215,2,3,5,1
216,2,3,5,2
217,2,3,5,3
218,2,3,5,4
219,2,3,5,5
220,2,3,5,6
221,2,3,5,7
222,2,3,5,8
223,2,3,5,9
224,2,3,5,10
225,2,3,6,1
226,2,3,6,2
227,2,3,6,3
228,2,3,6,4
229,2,3,6,5
230,2,3,6,6
231,2,3,6,7
232,2,3,6,8
233,2,3,6,9
234,2,3,6,10
235,2,3,7,1
236,2,3,7,2
237,2,3,7,3
238,2,3,7,4
239,2,3,7,5
240,2,3,7,6
241,2,3,7,7
242,2,3,7,10
243,2,3,8,1
244,2,3,8,2
245,2,3,8,3
246,2,3,8,6
247,2,3,8,7
248,2,3,8,8
249,2,3,8,9
250,2,4,5,1
251,2,4,5,5
252,2,4,5,6
253,2,4,5,7
254,2,4,5,8
255,2,4,5,9
256,2,4,5,10
257,2,4,6,1
258,2,4,6,2
259,2,4,6,3
260,2,4,6,4
261,2,4,6,5
262,2,4,6,7
263,2,4,6,8
264,2,4,6,9
265,2,4,6,10
266,2,4,7,1
267,2,4,7,2
268,2,4,7,4
269,2,4,7,5
270,2,4,7,6
271,2,4,7,8
272,2,4,7,9
273,2,4,7,10
274,2,4,8,1
275,2,4,8,2
276,2,4,8,3
277,2,4,8,4
278,2,4,8,5
279,2,4,8,6
280,2,4,8,7
281,2,4,8,8
282,2,4,8,10
283,3,1,5,1
286,3,1,5,4
290,3,1,5,8
291,3,1,5,9
292,3,1,5,10
299,3,1,6,9
300,3,1,6,10
301,3,1,7,1
302,3,1,7,2
303,3,1,7,3
304,3,1,7,4
305,3,1,7,5
306,3,1,7,6
307,3,1,7,7
308,3,1,7,9
309,3,1,7,10
310,3,1,8,1
