Line_name,0,1,2,3,Amt_uM_Strictosidine,Amt_norm
yp53_A01,4,1,5,2,2.546823228,9
yp53_A02,4,1,5,2,7.921695535,28
yp53_A04,4,2,5,2,22.59774959,80
yp53_A06,5,1,5,2,34.23506795,121
yp53_A07,5,2,6,2,44.71979192,159
yp53_A08,5,1,6,2,24.75364985,88
yp53_A09,6,1,6,2,15.31187214,54
yp53_A10,6,2,5,2,36.46977402,129
yp53_A11,6,1,6,2,11.88336506,42
yp53_A12,6,1,6,2,15.44535688,54
yp53_B01,3,1,6,2,3.905533671,13
yp53_B02,3,2,6,2,40.76194282,144
yp53_B03,3,1,5,2,0.414028309,1
yp53_B04,3,1,6,2,18.07923742,64
yp53_B05,7,2,6,2,35.69348625,126
yp53_B06,7,2,5,2,21.59328835,76
yp53_B07,7,1,5,2,5.583939914,19
yp53_B08,7,2,5,2,22.49698249,80
yp53_B09,4,2,6,4,13.81069039,49
yp53_B10,4,1,5,4,7.335207418,26
yp53_B11,4,1,6,4,4.260934467,15
yp53_B12,4,1,6,4,5.241370601,18
yp53_C01,5,1,5,4,40.34055827,143
yp53_C02,5,1,6,4,35.0689843,124
yp53_C03,5,1,6,4,21.19806246,75
yp53_C05,6,1,5,4,13.94506097,49
yp53_C06,6,2,6,4,44.84855721,159
yp53_C07,6,2,6,4,35.60440093,126
yp53_C08,6,1,6,4,14.74325725,52
yp53_C09,3,1,6,4,14.61778276,51
yp53_C10,3,1,6,4,13.47359444,47
yp53_D01,7,1,6,4,3.163020902,11
yp53_D02,7,1,5,4,0.326690163,1
yp53_D03,7,1,6,4,2.726746706,9
yp53_D04,7,1,5,4,5.326136042,18
yp53_D05,4,2,5,5,9.272851839,32
yp53_D06,4,2,6,5,30.73676235,109
yp53_D08,4,2,5,5,27.74011158,98
yp53_D09,5,2,6,5,47.69202744,169
yp53_D10,5,1,6,5,30.9489304,110
yp53_D11,5,1,6,5,21.07241646,74
yp53_D12,5,2,6,5,0.0,0
yp53_E02,6,2,6,5,40.80980643,145
yp53_E03,6,1,5,5,15.75954539,56
yp53_E04,6,2,6,5,29.81386433,106
yp53_E05,3,2,5,5,37.29660365,132
yp53_E06,3,1,6,5,1.611958837,5
yp53_E07,3,1,5,5,14.18377971,50
yp53_E08,3,1,5,5,0.529311872,1
yp53_E09,7,1,6,5,4.184889835,14
yp53_E10,7,1,6,5,3.492197071,12
yp53_E11,7,1,5,5,0.477411086,1
yp53_E12,7,2,6,5,27.6921933,98
