Name,Identity,E_value,Length,ACC_number
sp|Q05001.1|NCPR_CATRO RecName: Full=NADPH--cytochrome P450 reductase; Short=CPR; Short=P450R,1.0,0.0,714,Q05001
hypothetical protein M9H77_06302 [Catharanthus roseus],0.9943977591036415,0.0,714,KAI5675352
unnamed protein product [Coffea canephora],0.8509036144578314,0.0,662,CDP02981
NADPH--cytochrome P450 reductase [Coffea eugenioides],0.8417366946778712,0.0,712,XP_027176985
NADPH--cytochrome P450 reductase-like [Coffea arabica],0.8375350140056023,0.0,712,XP_027072686
hypothetical protein I3760_07G189900 [Carya illinoinensis],0.8371335504885994,1.62702e-180,642,KAG2699357
Auxin-responsive protein [Psidium guajava],0.8140703517587939,0.0,684,KAI3440090
NADPH--cytochrome P450 reductase-like [Sesamum indicum],0.8111888111888111,0.0,712,XP_011069915
cytochrome P450 reductase [Sesamum radiatum],0.8083916083916084,0.0,712,BBM05069
hypothetical protein Pfo_000826 [Paulownia fortunei],0.8081395348837209,0.0,780,KAI3444161
cytochrome P450 reductase [Ilex asprella],0.806136680613668,0.0,710,UKI59126
hypothetical protein Pfo_029557 [Paulownia fortunei],0.8041958041958042,0.0,712,KAI3472437
NADPH--cytochrome P450 reductase-like [Olea europaea subsp. europaea],0.803921568627451,0.0,708,CAA2972840
NADPH--cytochrome P450 reductase-like [Olea europaea var. sylvestris],0.803921568627451,0.0,708,XP_022887951
NADPH-cytochrome P450 reductase [Olea europaea subsp. europaea],0.8037790697674418,0.0,695,CAA2972841
hypothetical protein BUALT_Bualt16G0102200 [Buddleja alternifolia],0.8025210084033614,0.0,711,KAG8367719
cytochrome P450 NADPH-reductase [Petunia x hybrida],0.8025034770514604,0.0,715,AAZ39649
hypothetical protein Pfo_003306 [Paulownia fortunei],0.8013986013986014,0.0,708,KAI3446641
unnamed protein product [Digitaria exilis],0.8011363636363636,1.36014e-94,651,CAB3457860
NADPH--cytochrome P450 reductase-like [Olea europaea var. sylvestris],0.8011204481792717,0.0,708,XP_022867604
PREDICTED: NADPH--cytochrome P450 reductase-like [Nicotiana attenuata] >gb|OIT08699.1| nadph--cytochrome p450 reductase 2 [Nicotiana attenuata],0.800557880055788,0.0,713,XP_019252798
NADPH--cytochrome P450 reductase-like [Solanum pennellii],0.799721835883171,0.0,715,XP_015082249
hypothetical protein EJD97_014162 [Solanum chilense],0.799721835883171,0.0,715,TMW91569
NADPH--cytochrome P450 reductase [Solanum lycopersicum],0.799721835883171,0.0,715,XP_004242931
NADPH-cytochrome P450 reductase [Olea europaea subsp. europaea],0.7997198879551821,0.0,708,CAA3005731
hypothetical protein F0562_009074 [Nyssa sinensis],0.7985507246376812,0.0,749,KAA8522764
NADPH--cytochrome P450 reductase [Sesamum indicum] >dbj|BBB06444.1| cytochrome P450 reductase 1 [Sesamum indicum],0.7983193277310925,0.0,705,XP_011079296
NADPH:cytochrome P450 reductase [Scoparia dulcis],0.797486033519553,0.0,713,AGX85599
NADPH--cytochrome P450 reductase-like [Andrographis paniculata] >gb|AQT38171.1| NADPH-cytochrome P450 reductase [Andrographis paniculata],0.7969187675070029,0.0,706,XP_051120333
cytochrome P450 reductase [Salvia miltiorrhiza],0.7958041958041958,0.0,712,AGL46979
"unnamed protein product, partial [Vitis vinifera]",0.7954887218045112,0.0,660,CBI17838
NADPH--cytochrome P450 reductase [Nicotiana tomentosiformis] >ref|XP_016454942.1| PREDICTED: NADPH--cytochrome P450 reductase-like [Nicotiana tabacum],0.7949790794979079,0.0,713,XP_009607226
NADPH-cytochrome P450 reductase [Ocimum basilicum],0.7944055944055944,0.0,712,ANW46531
